title,date,author,text
Bridgerton: descubra quais são as músicas cover da 2ª temporada,02/04/2022, Flávio Motta Coutinho ,
Will Smith: Academia já iniciou processo disciplinar contra ator; entenda!,31/03/2022, Robinson Samulak Alves ,
Titans: 4ª temporada da série tem fotos inéditas divulgadas; veja!,31/03/2022, Marco Aurelio Andrade de Souza ,
Morbius: filme com Jared Leto estreia no Brasil,31/03/2022, Giovanna Fantinato ,
Bridgerton: série spin-off terá história da rainha Charlotte; veja elenco!,31/03/2022, Flávio Motta Coutinho ,
Bridgerton: Kate e Anthony retornam para 3ª temporada; veja!,31/03/2022, Marcelo de Morais ,
Fallout: Ella Purnell será a protagonista da série; confira!,31/03/2022, Flávio Motta Coutinho ,
Obi-Wan Kenobi tem estreia adiada no DIsney+; veja nova data!,31/03/2022, Giovanna Fantinato ,
The Good Doctor é renovada para a 6ª temporada pela ABC,31/03/2022, Giovanna Fantinato ,
Bridgerton: atriz revela que estará na série spin-off da rainha Charlotte,31/03/2022, Marcelo de Morais ,
Cavaleiro da Lua: é preciso assistir outras produções do MCU para entender?,31/03/2022, Luciana Penante ,
Cavaleiro da Lua: o que você precisa saber antes de ver a série,01/04/2022, Giovanna Fantinato ,
"Chris Rock pediu que polícia não retirasse Wil Smith do Oscar, diz produtor",01/04/2022, Giovanna Fantinato ,
Animais Fantásticos 3: primeiras reações ao filme apontam melhorias; veja!,01/04/2022, Matheus Rocha da Silva ,
Jim Carrey anuncia que se aposentará do cinema após Sonic 2,01/04/2022, Carlos Palmeira ,
Bridgerton: 2ª temporada já acumula 193 milhões de horas vistas,30/03/2022, Gabriela Freire Petry ,
Victoria Pedretti será estrela da série dramática Saint X; veja!,30/03/2022, Marcelo de Morais ,
Dark Matter: Apple TV+ anuncia série de ficção científica com Joel Edgerton,30/03/2022, Ricardo Isídio ,
Bridgerton: 7 perguntas que temos após final da 2ª temporada,30/03/2022, Flávio Motta Coutinho ,
Chris Rock fala pela primeira vez sobre tapa de Will Smith; veja,31/03/2022, Giovanna Fantinato ,
Attack On Titan: humanidade está ameaçada no útimo episódio; veja promo!,01/04/2022, Flávio Motta Coutinho ,
Will Smith: produtor do Oscar fala sobre tapa de Will Smith em Chris Rock,01/04/2022, Marcelo de Morais ,
Cavaleiro da Lua: saiba onde a série está na linha do tempo do MCU,01/04/2022, Flávio Motta Coutinho ,
"Riverdale: elenco está pronto para final da série, diz ator; veja!",01/04/2022, Matheus Rocha da Silva ,
Morbius: filme amarga baixo desempenho e aprovação; veja reações!,01/04/2022, Flávio Motta Coutinho ,
Project Artemis: filme da Apple reunirá Scarlett Johansson e Chris Evans,01/04/2022, Ricardo Isídio ,
Grey's Anatomy 18x14: Maggie e Winston têm um grande desafio (recap),01/04/2022, Matheus Rocha da Silva ,
Bridgerton: tudo o que já sabemos sobre a 3ª temporada da série,02/04/2022, Flávio Motta Coutinho ,
Manifest: teoria faz ligação entre todos os desaparecimentos,02/04/2022, Flávio Motta Coutinho ,
Amazon Prime Video: todos os lançamentos de abril de 2022,01/04/2022, Giovanna Fantinato ,
